cluster,pixel_count,area_pct,mean_intensity,peak_band,peak_wavelength_nm,peak_value
C1,11970,29.925,666.634521484375,18,669.599976,1487.7503662109375
C2,3618,9.045,1544.8626708984375,18,669.599976,3356.1279296875
C3,8706,21.765,356.2591552734375,18,669.599976,904.266845703125
C4,9521,23.8025,1007.6823120117188,18,669.599976,2314.2294921875
C5,3120,7.8,1164.2728271484375,28,783.799988,2054.335693359375
C6,3065,7.6625,921.63623046875,24,739.200012,2081.1328125
