k,silhouette_sample,calinski_harabasz,inertia
3,0.38674938678741455,44243.1484375,668401.0625
4,0.401010662317276,40842.9296875,528384.9375
5,0.3652651906013489,41756.0859375,414813.25
6,0.3898167312145233,42299.21484375,341451.59375
7,0.37440600991249084,43578.6328125,284840.875
8,0.37291836738586426,42928.66015625,252185.421875
9,0.34822985529899597,43056.69921875,223348.640625
10,0.3532656133174896,42556.58984375,202989.203125
