case,n_original,d_original,d_used,K,largest_to_smallest,algorithm,ari,seconds
large_n_10100_imbalanced,10100,2,2,2,9000:1100,MBC,0.9701804084038889,14.827157199964859
high_d_6000_K20_imbalanced,1011,6000,10,20,90:12,MBC,0.9386157809068734,0.7434855999890715
