method,mean,std,min,max
HDBSCAN,0.5944012849200891,0.34060092741254194,0.03996009103503303,1.0
Spectral,0.5622479829706243,0.3556914439343177,-0.0020920502092050207,1.0
MBC,0.3648514384955509,0.43697847899341713,-0.002378181879952776,1.0
Agglomerative,0.2893736364441781,0.31686409393725623,-0.0020920502092050207,0.7744699522653843
GMM,0.26278517304209337,0.28079627809973334,-0.0020920502092050207,0.7166001964397792
KMeans,0.24798972818409537,0.25889099043332897,-0.0020920502092050207,0.5833224928588768
AffinityPropagation,0.17247368091368004,0.08103725421452757,0.09500398866897805,0.3049109767212526
MeanShift,0.12825736756693906,0.06398731851965223,0.07065338519282957,0.24546974266317995
