combination,mean,std,min,max
0,0.7378004210769703,0.3856381332259734,-0.004543526438650621,1.0
1,0.7375618250469874,0.3853229746563016,-0.012111957388804545,1.0
2,0.7366010594201498,0.3854530197480681,-0.00901027389433136,1.0
3,0.7378004210769703,0.3856381332259734,-0.004543526438650621,1.0
4,0.738058584230242,0.38316774960297384,0.006732627041456225,1.0
5,0.735244636656724,0.3888237351542751,0.0,1.0
6,0.7366010594201498,0.3854530197480681,-0.00901027389433136,1.0
7,0.7380628218395561,0.3850569826391296,0.006667764499933389,1.0
