parameter,value,mean,std
compact_refinement_restarts,1.0,0.8402350519464443,0.2248091279953221
compact_refinement_restarts,3.0,0.8894473610944845,0.14367160469415893
compact_refinement_restarts,5.0,0.9028139188466713,0.12409186322112693
compact_refinement_restarts,10.0,0.9191363998726363,0.09515017501016997
compact_refinement_restarts,15.0,0.919075951965111,0.0952113350047947
compact_refinement_steps,0.0,0.5691695263628932,0.46368247525952705
compact_refinement_steps,5.0,0.9000182899382302,0.1276118539283091
compact_refinement_steps,10.0,0.9058139033508259,0.11775018057792247
compact_refinement_steps,18.0,0.9191363998726363,0.09515017501016997
compact_refinement_steps,30.0,0.9184947435674503,0.09615718119940266
organ_merge_radius,2.8,0.9191363998726363,0.09515017501016997
organ_merge_radius,3.2,0.9191363998726363,0.09515017501016997
organ_merge_radius,3.6,0.9191363998726363,0.09515017501016997
organ_merge_radius,4.0,0.9191363998726363,0.09515017501016997
organ_merge_radius,4.4,0.9191363998726363,0.09515017501016997
tangent_alignment,0.0,0.9191363998726363,0.09515017501016997
tangent_alignment,0.2,0.9191363998726363,0.09515017501016997
tangent_alignment,0.35,0.9191363998726363,0.09515017501016997
tangent_alignment,0.5,0.9191363998726363,0.09515017501016997
tangent_alignment,0.65,0.9191363998726363,0.09515017501016997
