dataset,seed,parameter,value,ari
noisy_moons,3,compact_refinement_restarts,15.0,0.2528871199243066
noisy_moons,7,organ_merge_radius,2.8,0.9919999681285151
noisy_moons,7,organ_merge_radius,3.6,0.9919999681285151
noisy_moons,7,organ_merge_radius,4.4,0.0008979089112456806
noisy_moons,7,tangent_alignment,0.0,0.0
noisy_moons,7,tangent_alignment,0.35,0.9919999681285151
noisy_moons,7,tangent_alignment,0.65,0.9919999681285151
noisy_moons,7,compact_refinement_steps,0.0,0.9919999681285151
noisy_moons,7,compact_refinement_steps,18.0,0.9919999681285151
noisy_moons,7,compact_refinement_steps,30.0,0.9919999681285151
noisy_moons,7,compact_refinement_restarts,1.0,0.9919999681285151
noisy_moons,7,compact_refinement_restarts,10.0,0.9919999681285151
noisy_moons,7,compact_refinement_restarts,15.0,0.9919999681285151
noisy_moons,11,organ_merge_radius,2.8,0.9760961032975123
noisy_moons,11,organ_merge_radius,3.6,0.9760961032975123
noisy_moons,11,organ_merge_radius,4.4,0.0
noisy_moons,11,tangent_alignment,0.0,0.0
noisy_moons,11,tangent_alignment,0.35,0.9760961032975123
noisy_moons,11,tangent_alignment,0.65,0.9760961032975123
noisy_moons,11,compact_refinement_steps,0.0,0.9760961032975123
noisy_moons,11,compact_refinement_steps,18.0,0.9760961032975123
noisy_moons,11,compact_refinement_steps,30.0,0.9760961032975123
noisy_moons,11,compact_refinement_restarts,1.0,0.9760961032975123
noisy_moons,11,compact_refinement_restarts,10.0,0.9760961032975123
noisy_moons,11,compact_refinement_restarts,15.0,0.9760961032975123
noisy_moons,19,organ_merge_radius,2.8,0.9681922733790723
noisy_moons,19,organ_merge_radius,3.6,0.9681922733790723
noisy_moons,19,organ_merge_radius,4.4,0.0
noisy_moons,19,tangent_alignment,0.0,0.03619351517451627
noisy_moons,19,tangent_alignment,0.35,0.9681922733790723
noisy_moons,19,tangent_alignment,0.65,0.9681922733790723
noisy_moons,19,compact_refinement_steps,0.0,0.9681922733790723
noisy_moons,19,compact_refinement_steps,18.0,0.9681922733790723
noisy_moons,19,compact_refinement_steps,30.0,0.9681922733790723
noisy_moons,19,compact_refinement_restarts,1.0,0.9681922733790723
noisy_moons,19,compact_refinement_restarts,10.0,0.9681922733790723
noisy_moons,19,compact_refinement_restarts,15.0,0.9681922733790723
noisy_moons,23,organ_merge_radius,2.8,0.9603205137987841
noisy_moons,23,organ_merge_radius,3.6,0.21047916521169532
noisy_moons,23,organ_merge_radius,4.4,0.0
noisy_moons,23,tangent_alignment,0.0,0.0
noisy_moons,23,tangent_alignment,0.35,0.21047916521169532
noisy_moons,23,tangent_alignment,0.65,0.1200902593381412
noisy_moons,23,compact_refinement_steps,0.0,0.21047916521169532
noisy_moons,23,compact_refinement_steps,18.0,0.21047916521169532
noisy_moons,23,compact_refinement_steps,30.0,0.21047916521169532
noisy_moons,23,compact_refinement_restarts,1.0,0.21047916521169532
noisy_moons,23,compact_refinement_restarts,10.0,0.21047916521169532
noisy_moons,23,compact_refinement_restarts,15.0,0.21047916521169532
noisy_circles,3,organ_merge_radius,2.8,1.0
noisy_circles,3,organ_merge_radius,3.6,1.0
noisy_circles,3,organ_merge_radius,4.4,0.0
noisy_circles,3,tangent_alignment,0.0,1.0
noisy_circles,3,tangent_alignment,0.35,1.0
noisy_circles,3,tangent_alignment,0.65,1.0
noisy_circles,3,compact_refinement_steps,0.0,1.0
noisy_circles,3,compact_refinement_steps,18.0,1.0
noisy_circles,3,compact_refinement_steps,30.0,1.0
noisy_circles,3,compact_refinement_restarts,1.0,1.0
noisy_circles,3,compact_refinement_restarts,10.0,1.0
noisy_circles,3,compact_refinement_restarts,15.0,1.0
noisy_circles,7,organ_merge_radius,2.8,1.0
noisy_circles,7,organ_merge_radius,3.6,1.0
noisy_circles,7,organ_merge_radius,4.4,0.0
noisy_circles,7,tangent_alignment,0.0,1.0
noisy_circles,7,tangent_alignment,0.35,1.0
noisy_circles,7,tangent_alignment,0.65,1.0
noisy_circles,7,compact_refinement_steps,0.0,1.0
noisy_circles,7,compact_refinement_steps,18.0,1.0
noisy_circles,7,compact_refinement_steps,30.0,1.0
noisy_circles,7,compact_refinement_restarts,1.0,1.0
noisy_circles,7,compact_refinement_restarts,10.0,1.0
noisy_circles,7,compact_refinement_restarts,15.0,1.0
noisy_circles,11,organ_merge_radius,2.8,1.0
noisy_circles,11,organ_merge_radius,3.6,1.0
noisy_circles,11,organ_merge_radius,4.4,1.0
noisy_circles,11,tangent_alignment,0.0,1.0
noisy_circles,11,tangent_alignment,0.35,1.0
noisy_circles,11,tangent_alignment,0.65,1.0
noisy_circles,11,compact_refinement_steps,0.0,1.0
noisy_circles,11,compact_refinement_steps,18.0,1.0
noisy_circles,11,compact_refinement_steps,30.0,1.0
noisy_circles,11,compact_refinement_restarts,1.0,1.0
noisy_circles,11,compact_refinement_restarts,10.0,1.0
noisy_circles,11,compact_refinement_restarts,15.0,1.0
noisy_circles,19,organ_merge_radius,2.8,1.0
noisy_circles,19,organ_merge_radius,3.6,1.0
noisy_circles,19,organ_merge_radius,4.4,0.0
noisy_circles,19,tangent_alignment,0.0,1.0
noisy_circles,19,tangent_alignment,0.35,1.0
noisy_circles,19,tangent_alignment,0.65,1.0
noisy_circles,19,compact_refinement_steps,0.0,1.0
noisy_circles,19,compact_refinement_steps,18.0,1.0
noisy_circles,19,compact_refinement_steps,30.0,1.0
noisy_circles,19,compact_refinement_restarts,1.0,1.0
noisy_circles,19,compact_refinement_restarts,10.0,1.0
noisy_circles,19,compact_refinement_restarts,15.0,1.0
noisy_circles,23,organ_merge_radius,2.8,1.0
noisy_circles,23,organ_merge_radius,3.6,1.0
noisy_circles,23,organ_merge_radius,4.4,0.0
noisy_circles,23,tangent_alignment,0.0,0.0
noisy_circles,23,tangent_alignment,0.35,1.0
noisy_circles,23,tangent_alignment,0.65,1.0
noisy_circles,23,compact_refinement_steps,0.0,1.0
noisy_circles,23,compact_refinement_steps,18.0,1.0
noisy_circles,23,compact_refinement_steps,30.0,1.0
noisy_circles,23,compact_refinement_restarts,1.0,1.0
noisy_circles,23,compact_refinement_restarts,10.0,1.0
noisy_circles,23,compact_refinement_restarts,15.0,1.0
varied_density,3,organ_merge_radius,2.8,0.01725828399237998
varied_density,3,organ_merge_radius,3.6,0.01725828399237998
varied_density,3,organ_merge_radius,4.4,0.0
varied_density,3,tangent_alignment,0.0,0.01725828399237998
varied_density,3,tangent_alignment,0.35,0.01725828399237998
varied_density,3,tangent_alignment,0.65,0.01725828399237998
varied_density,3,compact_refinement_steps,0.0,0.01725828399237998
varied_density,3,compact_refinement_steps,18.0,0.01725828399237998
varied_density,3,compact_refinement_steps,30.0,0.01725828399237998
varied_density,3,compact_refinement_restarts,1.0,0.01725828399237998
varied_density,3,compact_refinement_restarts,10.0,0.01725828399237998
varied_density,3,compact_refinement_restarts,15.0,0.01725828399237998
varied_density,7,organ_merge_radius,2.8,0.02864425062960093
varied_density,7,organ_merge_radius,3.6,0.02864425062960093
varied_density,7,organ_merge_radius,4.4,0.0
varied_density,7,tangent_alignment,0.0,0.02864425062960093
varied_density,7,tangent_alignment,0.35,0.02864425062960093
varied_density,7,tangent_alignment,0.65,0.02864425062960093
varied_density,7,compact_refinement_steps,0.0,0.02864425062960093
varied_density,7,compact_refinement_steps,18.0,0.02864425062960093
varied_density,7,compact_refinement_steps,30.0,0.02864425062960093
varied_density,7,compact_refinement_restarts,1.0,0.02864425062960093
varied_density,7,compact_refinement_restarts,10.0,0.02864425062960093
varied_density,7,compact_refinement_restarts,15.0,0.02864425062960093
varied_density,11,organ_merge_radius,2.8,0.008976712786920119
varied_density,11,organ_merge_radius,3.6,-0.012111957388804545
varied_density,11,organ_merge_radius,4.4,0.0008686060600078471
varied_density,11,tangent_alignment,0.0,0.0008686060600078471
varied_density,11,tangent_alignment,0.35,-0.012111957388804545
varied_density,11,tangent_alignment,0.65,0.008976712786920119
varied_density,11,compact_refinement_steps,0.0,-0.012111957388804545
varied_density,11,compact_refinement_steps,18.0,-0.012111957388804545
varied_density,11,compact_refinement_steps,30.0,-0.012111957388804545
varied_density,11,compact_refinement_restarts,1.0,-0.012111957388804545
varied_density,11,compact_refinement_restarts,10.0,-0.012111957388804545
varied_density,11,compact_refinement_restarts,15.0,-0.012111957388804545
varied_density,19,organ_merge_radius,2.8,0.4894556025154047
varied_density,19,organ_merge_radius,3.6,0.01256456798160534
varied_density,19,organ_merge_radius,4.4,0.0
varied_density,19,tangent_alignment,0.0,0.00910683965316738
varied_density,19,tangent_alignment,0.35,0.01256456798160534
varied_density,19,tangent_alignment,0.65,0.1484238640307666
varied_density,19,compact_refinement_steps,0.0,0.01256456798160534
varied_density,19,compact_refinement_steps,18.0,0.01256456798160534
varied_density,19,compact_refinement_steps,30.0,0.01256456798160534
varied_density,19,compact_refinement_restarts,1.0,0.01256456798160534
varied_density,19,compact_refinement_restarts,10.0,0.01256456798160534
varied_density,19,compact_refinement_restarts,15.0,0.01256456798160534
varied_density,23,organ_merge_radius,2.8,0.00930727088856047
varied_density,23,organ_merge_radius,3.6,0.029175271865961014
varied_density,23,organ_merge_radius,4.4,0.0036875575484696054
varied_density,23,tangent_alignment,0.0,0.029175271865961014
varied_density,23,tangent_alignment,0.35,0.029175271865961014
varied_density,23,tangent_alignment,0.65,0.029175271865961014
varied_density,23,compact_refinement_steps,0.0,0.029175271865961014
varied_density,23,compact_refinement_steps,18.0,0.029175271865961014
varied_density,23,compact_refinement_steps,30.0,0.029175271865961014
varied_density,23,compact_refinement_restarts,1.0,0.029175271865961014
varied_density,23,compact_refinement_restarts,10.0,0.029175271865961014
varied_density,23,compact_refinement_restarts,15.0,0.029175271865961014
anisotropic_blobs,3,organ_merge_radius,2.8,1.0
anisotropic_blobs,3,organ_merge_radius,3.6,1.0
anisotropic_blobs,3,organ_merge_radius,4.4,1.0
anisotropic_blobs,3,tangent_alignment,0.0,1.0
anisotropic_blobs,3,tangent_alignment,0.35,1.0
anisotropic_blobs,3,tangent_alignment,0.65,1.0
anisotropic_blobs,3,compact_refinement_steps,0.0,1.0
anisotropic_blobs,3,compact_refinement_steps,18.0,1.0
anisotropic_blobs,3,compact_refinement_steps,30.0,1.0
anisotropic_blobs,3,compact_refinement_restarts,1.0,1.0
anisotropic_blobs,3,compact_refinement_restarts,10.0,1.0
anisotropic_blobs,3,compact_refinement_restarts,15.0,1.0
anisotropic_blobs,7,organ_merge_radius,2.8,1.0
anisotropic_blobs,7,organ_merge_radius,3.6,1.0
anisotropic_blobs,7,organ_merge_radius,4.4,1.0
anisotropic_blobs,7,tangent_alignment,0.0,1.0
anisotropic_blobs,7,tangent_alignment,0.35,1.0
anisotropic_blobs,7,tangent_alignment,0.65,1.0
anisotropic_blobs,7,compact_refinement_steps,0.0,1.0
anisotropic_blobs,7,compact_refinement_steps,18.0,1.0
anisotropic_blobs,7,compact_refinement_steps,30.0,1.0
anisotropic_blobs,7,compact_refinement_restarts,1.0,1.0
anisotropic_blobs,7,compact_refinement_restarts,10.0,1.0
anisotropic_blobs,7,compact_refinement_restarts,15.0,1.0
anisotropic_blobs,11,organ_merge_radius,2.8,0.9788819441947539
anisotropic_blobs,11,organ_merge_radius,3.6,0.7344332091538052
anisotropic_blobs,11,organ_merge_radius,4.4,0.7130534790109259
anisotropic_blobs,11,tangent_alignment,0.0,0.7130534790109259
anisotropic_blobs,11,tangent_alignment,0.35,0.7344332091538052
anisotropic_blobs,11,tangent_alignment,0.65,0.7344332091538052
anisotropic_blobs,11,compact_refinement_steps,0.0,0.7344332091538052
anisotropic_blobs,11,compact_refinement_steps,18.0,0.7344332091538052
anisotropic_blobs,11,compact_refinement_steps,30.0,0.7344332091538052
anisotropic_blobs,11,compact_refinement_restarts,1.0,0.7344332091538052
anisotropic_blobs,11,compact_refinement_restarts,10.0,0.7344332091538052
anisotropic_blobs,11,compact_refinement_restarts,15.0,0.7344332091538052
anisotropic_blobs,19,organ_merge_radius,2.8,0.708939161689149
anisotropic_blobs,19,organ_merge_radius,3.6,0.7130534790109259
anisotropic_blobs,19,organ_merge_radius,4.4,0.7130534790109259
anisotropic_blobs,19,tangent_alignment,0.0,0.7130534790109259
anisotropic_blobs,19,tangent_alignment,0.35,0.7130534790109259
anisotropic_blobs,19,tangent_alignment,0.65,0.7130534790109259
anisotropic_blobs,19,compact_refinement_steps,0.0,0.7130534790109259
anisotropic_blobs,19,compact_refinement_steps,18.0,0.7130534790109259
anisotropic_blobs,19,compact_refinement_steps,30.0,0.7130534790109259
anisotropic_blobs,19,compact_refinement_restarts,1.0,0.7130534790109259
anisotropic_blobs,19,compact_refinement_restarts,10.0,0.7130534790109259
anisotropic_blobs,19,compact_refinement_restarts,15.0,0.7130534790109259
anisotropic_blobs,23,organ_merge_radius,2.8,1.0
anisotropic_blobs,23,organ_merge_radius,3.6,1.0
anisotropic_blobs,23,organ_merge_radius,4.4,1.0
anisotropic_blobs,23,tangent_alignment,0.0,1.0
anisotropic_blobs,23,tangent_alignment,0.35,1.0
anisotropic_blobs,23,tangent_alignment,0.65,1.0
anisotropic_blobs,23,compact_refinement_steps,0.0,1.0
anisotropic_blobs,23,compact_refinement_steps,18.0,1.0
anisotropic_blobs,23,compact_refinement_steps,30.0,1.0
anisotropic_blobs,23,compact_refinement_restarts,1.0,1.0
anisotropic_blobs,23,compact_refinement_restarts,10.0,1.0
anisotropic_blobs,23,compact_refinement_restarts,15.0,1.0
iris,3,organ_merge_radius,2.8,0.6100728505285608
iris,3,organ_merge_radius,3.6,0.6100728505285608
iris,3,organ_merge_radius,4.4,0.6100728505285608
iris,3,tangent_alignment,0.0,0.6100728505285608
iris,3,tangent_alignment,0.35,0.6100728505285608
iris,3,tangent_alignment,0.65,0.6100728505285608
iris,3,compact_refinement_steps,0.0,0.5681159420289855
iris,3,compact_refinement_steps,18.0,0.6100728505285608
iris,3,compact_refinement_steps,30.0,0.6100728505285608
iris,3,compact_refinement_restarts,1.0,0.5923326221845838
iris,3,compact_refinement_restarts,10.0,0.6100728505285608
iris,3,compact_refinement_restarts,15.0,0.6201351808870379
iris,7,organ_merge_radius,2.8,0.6201351808870379
iris,7,organ_merge_radius,3.6,0.6201351808870379
iris,7,organ_merge_radius,4.4,0.6201351808870379
iris,7,tangent_alignment,0.0,0.6201351808870379
iris,7,tangent_alignment,0.35,0.6201351808870379
iris,7,tangent_alignment,0.65,0.6201351808870379
iris,7,compact_refinement_steps,0.0,0.5437515388376617
iris,7,compact_refinement_steps,18.0,0.6201351808870379
iris,7,compact_refinement_steps,30.0,0.6201351808870379
iris,7,compact_refinement_restarts,1.0,0.5923326221845838
iris,7,compact_refinement_restarts,10.0,0.6201351808870379
iris,7,compact_refinement_restarts,15.0,0.6201351808870379
iris,11,organ_merge_radius,2.8,0.6201351808870379
iris,11,organ_merge_radius,3.6,0.6201351808870379
iris,11,organ_merge_radius,4.4,0.6201351808870379
iris,11,tangent_alignment,0.0,0.6201351808870379
iris,11,tangent_alignment,0.35,0.6201351808870379
iris,11,tangent_alignment,0.65,0.6201351808870379
iris,11,compact_refinement_steps,0.0,0.5583714437541352
iris,11,compact_refinement_steps,18.0,0.6201351808870379
iris,11,compact_refinement_steps,30.0,0.6201351808870379
iris,11,compact_refinement_restarts,1.0,0.645147003482001
iris,11,compact_refinement_restarts,10.0,0.6201351808870379
iris,11,compact_refinement_restarts,15.0,0.6201351808870379
iris,19,organ_merge_radius,2.8,0.6100728505285608
iris,19,organ_merge_radius,3.6,0.6100728505285608
iris,19,organ_merge_radius,4.4,0.6100728505285608
iris,19,tangent_alignment,0.0,0.6100728505285608
iris,19,tangent_alignment,0.35,0.6100728505285608
iris,19,tangent_alignment,0.65,0.6100728505285608
iris,19,compact_refinement_steps,0.0,0.537807593632331
iris,19,compact_refinement_steps,18.0,0.6100728505285608
iris,19,compact_refinement_steps,30.0,0.6100728505285608
iris,19,compact_refinement_restarts,1.0,0.5923326221845838
iris,19,compact_refinement_restarts,10.0,0.6100728505285608
iris,19,compact_refinement_restarts,15.0,0.6201351808870379
