family,Agglomerative,CompactRefineOnly,DBSCAN,GMM,KMeans,MBC,Spectral
nonconvex,0.29595255871894766,0.23666914319608923,0.5896602947462617,0.24439802056955667,0.2369264511274579,0.9199827314970552,0.8790119178923532
real_image_features,0.8324822961147127,0.7489308696860283,0.6499082455753931,0.701801018237074,0.7795342806637048,0.7334793299866111,0.8838343277769865
real_low_dim,0.6153229932145449,0.6201351808870379,0.48330870891911515,0.9038742317748124,0.6201351808870379,0.6161102487436471,0.5820908348420101
real_tabular,0.4185181858628845,0.4252782366355654,0.2185595969928986,0.29788807813036433,0.4281448228878367,0.43131113725601483,0.44398220791105764
synthetic_density,0.600493886858552,0.4878906145901432,0.5143562016906543,0.9549864498449061,0.4904635219729977,0.015106083416148544,0.5120330436685872
synthetic_gaussian,0.9586873553653813,0.9560304683320398,0.7788384824002443,0.9618143667611566,0.9560304683320398,0.8894973376329462,0.88300830633678
