family,Agglomerative,CompactRefineOnly,DBSCAN,GMM,KMeans,MBC,Spectral
biological_factor,0.0492124702143943,0.011832856783069834,0.06619957449698183,0.0763918352150767,0.011832856783069834,0.012060137055864822,0.0013645341145217668
biological_gene_expression,0.255795701681973,0.22736085616419077,0.14961869654227108,0.2719467699643524,0.23186899082053233,0.255026534239219,0.2183244722565053
biological_protein_expression,0.1175006081255648,0.1367789961889799,0.0842402095267807,0.22765037603469807,0.13463343298454222,0.13133399644221425,0.2309200446523889
real_medical_tabular,0.06540281096027391,0.0913353610077919,0.035955587574284444,0.008793398539196418,0.08247748300187814,0.08105005956667964,0.006377819527726001
real_mixed_tabular,0.0566515254182653,0.021621216397565566,0.0364962284315288,-0.0035891512008536,0.022046062076551503,0.015652858248504,-0.025874401582670802
real_shape_features,0.0990374905128793,0.07541092230658057,0.096799154346266,0.08333216773283784,0.0760410408020482,0.0753956876950846,0.10671934220813721
real_signal_features,0.1286109219119355,0.16790201414259873,0.5512751060458936,0.352731680683634,0.16790201414259873,0.16790201414259873,-0.0391357415534837
