cluster,pixel_count,area_pct,mean_intensity,peak_band,peak_wavelength_nm,peak_value
C1,13681,34.2025,582.6568603515625,18,669.599976,1404.2718505859375
C2,11676,29.189999999999998,705.1947021484375,18,669.599976,1642.2142333984375
C3,4499,11.2475,834.5775146484375,24,739.200012,1917.355224609375
C4,2185,5.4625,1104.383544921875,28,783.799988,2160.5830078125
C5,1390,3.4750000000000005,1161.36279296875,37,878.099976,2096.7734375
C6,6569,16.4225,1329.6839599609375,18,669.599976,2960.987060546875
