algorithm,mean,std
Spectral,3.0,2.1297216451250818
MBC,3.566666666666667,2.077658938966323
Agglomerative,3.6,1.7237832147426693
KMeans,4.166666666666667,1.397276262011544
GMM,4.2,2.4842360136324753
DBSCAN,4.6,2.197401062294143
CompactRefineOnly,4.866666666666666,1.38185520570131
