dataset,seed,parameter,value,ari
wine,7,organ_merge_radius,4.4,0.8974949815093207
wine,7,tangent_alignment,0.0,0.8974949815093207
wine,7,tangent_alignment,0.2,0.8974949815093207
wine,7,tangent_alignment,0.35,0.8974949815093207
wine,7,tangent_alignment,0.5,0.8974949815093207
wine,7,tangent_alignment,0.65,0.8974949815093207
wine,7,compact_refinement_steps,0.0,-0.01027602053357585
wine,7,compact_refinement_steps,5.0,0.8974949815093207
wine,7,compact_refinement_steps,10.0,0.8974949815093207
wine,7,compact_refinement_steps,18.0,0.8974949815093207
wine,7,compact_refinement_steps,30.0,0.8974949815093207
wine,7,compact_refinement_restarts,1.0,0.8803997758776985
wine,7,compact_refinement_restarts,3.0,0.9148795960669529
wine,7,compact_refinement_restarts,5.0,0.8974949815093207
wine,7,compact_refinement_restarts,10.0,0.8974949815093207
wine,7,compact_refinement_restarts,15.0,0.8974949815093207
digits_0_4,7,organ_merge_radius,2.8,0.7850577933881904
digits_0_4,7,organ_merge_radius,3.2,0.7850577933881904
digits_0_4,7,organ_merge_radius,3.6,0.7850577933881904
digits_0_4,7,organ_merge_radius,4.0,0.7850577933881904
digits_0_4,7,organ_merge_radius,4.4,0.7850577933881904
digits_0_4,7,tangent_alignment,0.0,0.7850577933881904
digits_0_4,7,tangent_alignment,0.2,0.7850577933881904
digits_0_4,7,tangent_alignment,0.35,0.7850577933881904
digits_0_4,7,tangent_alignment,0.5,0.7850577933881904
digits_0_4,7,tangent_alignment,0.65,0.7850577933881904
digits_0_4,7,compact_refinement_steps,0.0,0.19279399232338823
digits_0_4,7,compact_refinement_steps,5.0,0.6921609967237922
digits_0_4,7,compact_refinement_steps,10.0,0.7187987105948689
digits_0_4,7,compact_refinement_steps,18.0,0.7850577933881904
digits_0_4,7,compact_refinement_steps,30.0,0.7773579177259603
digits_0_4,7,compact_refinement_restarts,1.0,0.5575107963300301
digits_0_4,7,compact_refinement_restarts,3.0,0.6948885390475273
digits_0_4,7,compact_refinement_restarts,5.0,0.6948885390475273
digits_0_4,7,compact_refinement_restarts,10.0,0.7850577933881904
digits_0_4,7,compact_refinement_restarts,15.0,0.7773579177259603
two_moons,11,organ_merge_radius,2.8,1.0
two_moons,11,organ_merge_radius,3.2,1.0
two_moons,11,organ_merge_radius,3.6,1.0
two_moons,11,organ_merge_radius,4.0,1.0
two_moons,11,organ_merge_radius,4.4,1.0
two_moons,11,tangent_alignment,0.0,1.0
two_moons,11,tangent_alignment,0.2,1.0
two_moons,11,tangent_alignment,0.35,1.0
two_moons,11,tangent_alignment,0.5,1.0
two_moons,11,tangent_alignment,0.65,1.0
two_moons,11,compact_refinement_steps,0.0,1.0
two_moons,11,compact_refinement_steps,5.0,1.0
two_moons,11,compact_refinement_steps,10.0,1.0
two_moons,11,compact_refinement_steps,18.0,1.0
two_moons,11,compact_refinement_steps,30.0,1.0
two_moons,11,compact_refinement_restarts,1.0,1.0
two_moons,11,compact_refinement_restarts,3.0,1.0
two_moons,11,compact_refinement_restarts,5.0,1.0
two_moons,11,compact_refinement_restarts,10.0,1.0
two_moons,11,compact_refinement_restarts,15.0,1.0
circles,11,organ_merge_radius,2.8,1.0
circles,11,organ_merge_radius,3.2,1.0
circles,11,organ_merge_radius,3.6,1.0
circles,11,organ_merge_radius,4.0,1.0
circles,11,organ_merge_radius,4.4,1.0
circles,11,tangent_alignment,0.0,1.0
circles,11,tangent_alignment,0.2,1.0
circles,11,tangent_alignment,0.35,1.0
circles,11,tangent_alignment,0.5,1.0
