combination,dataset,seed,growth_rate,inhibition,organ_merge_radius,valley_ratio,tangent_alignment,max_bridge_void,birth_quantile,steps,ari
4,varied_density,11,0.18,0.045,3.6,0.18,0.35,0.52,0.92,140,0.011968307594979915
4,wine,3,0.18,0.045,3.6,0.18,0.35,0.52,0.92,140,0.8974949815093207
4,wine,7,0.18,0.045,3.6,0.18,0.35,0.52,0.92,140,0.8974949815093207
4,wine,11,0.18,0.045,3.6,0.18,0.35,0.52,0.92,140,0.8974949815093207
4,digits_0_4,3,0.18,0.045,3.6,0.18,0.35,0.52,0.92,140,0.7725597798917779
4,digits_0_4,7,0.18,0.045,3.6,0.18,0.35,0.52,0.92,140,0.7773579177259603
4,digits_0_4,11,0.18,0.045,3.6,0.18,0.35,0.52,0.92,140,0.7795342806637048
5,two_moons,3,0.15,0.045,4.2,0.28,0.35,0.52,0.92,140,1.0
5,two_moons,7,0.15,0.045,4.2,0.28,0.35,0.52,0.92,140,1.0
5,two_moons,11,0.15,0.045,4.2,0.28,0.35,0.52,0.92,140,1.0
5,circles,3,0.15,0.045,4.2,0.28,0.35,0.52,0.92,140,1.0
5,circles,7,0.15,0.045,4.2,0.28,0.35,0.52,0.92,140,1.0
5,circles,11,0.15,0.045,4.2,0.28,0.35,0.52,0.92,140,1.0
5,varied_density,3,0.15,0.045,4.2,0.28,0.35,0.52,0.92,140,0.006732627041456225
5,varied_density,7,0.15,0.045,4.2,0.28,0.35,0.52,0.92,140,0.0
5,varied_density,11,0.15,0.045,4.2,0.28,0.35,0.52,0.92,140,0.0
5,wine,3,0.15,0.045,4.2,0.28,0.35,0.52,0.92,140,0.8974949815093207
5,wine,7,0.15,0.045,4.2,0.28,0.35,0.52,0.92,140,0.8974949815093207
5,wine,11,0.15,0.045,4.2,0.28,0.35,0.52,0.92,140,0.8974949815093207
5,digits_0_4,3,0.15,0.045,4.2,0.28,0.35,0.52,0.92,140,0.7725597798917779
5,digits_0_4,7,0.15,0.045,4.2,0.28,0.35,0.52,0.92,140,0.7773579177259603
5,digits_0_4,11,0.15,0.045,4.2,0.28,0.35,0.52,0.92,140,0.7795342806637048
6,two_moons,3,0.18,0.035,3.6,0.18,0.35,0.46,0.88,120,1.0
6,two_moons,7,0.18,0.035,3.6,0.18,0.35,0.46,0.88,120,1.0
6,two_moons,11,0.18,0.035,3.6,0.18,0.35,0.46,0.88,120,1.0
6,circles,3,0.18,0.035,3.6,0.18,0.35,0.46,0.88,120,1.0
6,circles,7,0.18,0.035,3.6,0.18,0.35,0.46,0.88,120,1.0
6,circles,11,0.18,0.035,3.6,0.18,0.35,0.46,0.88,120,1.0
6,varied_density,3,0.18,0.035,3.6,0.18,0.35,0.46,0.88,120,-0.00901027389433136
6,varied_density,7,0.18,0.035,3.6,0.18,0.35,0.46,0.88,120,0.02864425062960093
6,varied_density,11,0.18,0.035,3.6,0.18,0.35,0.46,0.88,120,0.012471917204238807
6,wine,3,0.18,0.035,3.6,0.18,0.35,0.46,0.88,120,0.8974949815093207
6,wine,7,0.18,0.035,3.6,0.18,0.35,0.46,0.88,120,0.8974949815093207
6,wine,11,0.18,0.035,3.6,0.18,0.35,0.46,0.88,120,0.8974949815093207
6,digits_0_4,3,0.18,0.035,3.6,0.18,0.35,0.46,0.88,120,0.7627799556076363
6,digits_0_4,7,0.18,0.035,3.6,0.18,0.35,0.46,0.88,120,0.7795342806637048
6,digits_0_4,11,0.18,0.035,3.6,0.18,0.35,0.46,0.88,120,0.7821108165634358
