comparison,mbc_mean,other_mean,mean_difference,wilcoxon_statistic,p_value
MBC vs KMeans,0.5968867924373118,0.4527255344386979,0.1441612579986139,25.0,0.47690655496758394
MBC vs GMM,0.5968867924373118,0.4390189797205818,0.15786781271673006,42.0,0.306526583291276
MBC vs Agglomerative,0.5968867924373118,0.4746949378312782,0.12219185460603364,48.0,0.4954339467055269
MBC vs Spectral,0.5968867924373118,0.6372837536549375,-0.04039696121762574,34.0,0.42143712642931186
MBC vs DBSCAN,0.5968867924373118,0.4209979997680497,0.17588879266926222,23.0,0.035563561459279115
MBC vs CompactRefineOnly,0.5968867924373118,0.4491074241819043,0.14777936825540752,35.0,0.27182951833584557
