algorithm,average_rank,diff_from_best,significant_vs_best
Spectral,3.0,0.0,False
MBC,3.566666666666667,0.5666666666666669,False
Agglomerative,3.6,0.6000000000000001,False
KMeans,4.166666666666667,1.166666666666667,False
GMM,4.2,1.2000000000000002,False
DBSCAN,4.6,1.5999999999999996,False
CompactRefineOnly,4.866666666666666,1.8666666666666663,False
