dataset,family,algorithm,seed,n_samples,n_features,true_clusters,seconds,ari,nmi,clusters_found,silhouette,davies_bouldin,calinski_harabasz
noisy_circles,nonconvex,MBC_no_capillary,3,500,2,2,0.6024356000125408,1.0,1.0,2.0,0.10915402952094798,165.17423967968145,0.016402569869926296
noisy_circles,nonconvex,MBC_micro_only,3,500,2,2,0.5892189999576658,0.10454067665497901,0.37504218205577816,22.0,0.4515633036918204,0.5991461235441524,734.9581297312443
varied_density,synthetic_density,MBC,3,500,2,3,0.3730048999423161,0.01725828399237998,0.06810610806141494,3.0,0.38054926006741974,0.5283432383157698,47.44092094851247
varied_density,synthetic_density,MBC_no_compact,3,500,2,3,0.3777035999810323,0.01725828399237998,0.06810610806141494,3.0,0.38054926006741974,0.5283432383157698,47.44092094851247
varied_density,synthetic_density,MBC_no_polarity,3,500,2,3,0.38406640000175685,0.01725828399237998,0.06810610806141494,3.0,0.38054926006741974,0.5283432383157698,47.44092094851247
varied_density,synthetic_density,MBC_no_capillary,3,500,2,3,0.36489099997561425,0.01725828399237998,0.06810610806141494,3.0,0.38054926006741974,0.5283432383157698,47.44092094851247
varied_density,synthetic_density,MBC_micro_only,3,500,2,3,0.37890710006468,0.28465575281478794,0.4848823085752995,13.0,0.3612282043316307,0.7632331054824733,498.9111953368374
anisotropic_blobs,synthetic_gaussian,MBC,3,500,2,4,0.23832600004971027,1.0,1.0,4.0,0.7386996617939522,0.35781784898560803,4270.878641362983
anisotropic_blobs,synthetic_gaussian,MBC_no_compact,3,500,2,4,0.2297490999335423,1.0,1.0,4.0,0.7386996617939522,0.35781784898560803,4270.878641362983
anisotropic_blobs,synthetic_gaussian,MBC_no_polarity,3,500,2,4,0.25263110001105815,1.0,1.0,4.0,0.7386996617939522,0.35781784898560803,4270.878641362983
anisotropic_blobs,synthetic_gaussian,MBC_no_capillary,3,500,2,4,0.25079600000754,1.0,1.0,4.0,0.7386996617939522,0.35781784898560803,4270.878641362983
