trigger,mean,std,min,max
2,0.5430905080184831,0.3140671799956558,-0.001991710267457272,0.8974949815093207
3,0.8494169120479158,0.15762768952167505,0.6100728505285608,1.0
4,0.8494169120479158,0.15762768952167505,0.6100728505285608,1.0
