algorithm,mean,std
Spectral,0.632325975971412,0.32058117150555965
MBC,0.5968867924373118,0.36684330231098655
Agglomerative,0.4746949378312782,0.3228118555347652
KMeans,0.4527255344386979,0.31997035358809567
CompactRefineOnly,0.4491074241819043,0.31696806569044755
GMM,0.4390189797205817,0.37502110567155794
DBSCAN,0.4209979997680496,0.2452683129715211
