algorithm,total_seconds
Agglomerative,0.7958486998686528
DBSCAN,1.3954902996774727
GMM,1.722718499717299
CompactRefineOnly,1.833712699473832
Spectral,6.351990199531426
KMeans,9.032585100037974
MBC,47.974862799746916
