algorithm,mean,std
GMM,0.2719467699643524,0.17601865383478804
Agglomerative,0.255795701681973,0.10921305513273137
MBC,0.255026534239219,0.13165351657414504
KMeans,0.23186899082053233,0.11418276574044268
CompactRefineOnly,0.22736085616419077,0.12252631131923732
Spectral,0.2183244722565053,0.1544519600037098
DBSCAN,0.14961869654227108,0.19189570504302636
