index,dataset,family,algorithm,ari_mean,ari_std,nmi_mean,nmi_std,silhouette_mean,silhouette_std,davies_bouldin_mean,davies_bouldin_std,calinski_harabasz_mean,calinski_harabasz_std,seconds_mean,seconds_std,clusters_found_mean,clusters_found_std
0,anisotropic_blobs,synthetic_gaussian,MBC,0.8894973376329462,0.15150068841183884,0.9390785551057238,0.08368712554432599,0.7814278573844913,0.09411366220611592,0.3109831704904057,0.13247258670880194,5823.266295538475,2498.2231995337347,0.23734065999742598,0.026845177132989145,3.8,0.4472135954999579
1,anisotropic_blobs,synthetic_gaussian,MBC_micro_only,0.8545861143095099,0.0624280162020251,0.8842713411553271,0.043432054002341215,0.6414401912658871,0.06134970885564738,0.6463842384168511,0.08990354274021611,5365.0931508200065,1860.2663121591002,0.22875865995883943,0.03013739912604141,6.6,1.3416407864998738
2,anisotropic_blobs,synthetic_gaussian,MBC_no_capillary,0.8846771045854048,0.15791530930813039,0.936378708685036,0.08786657737858196,0.7580972269036295,0.14150530599550618,0.3757947051998035,0.2686313180048743,5678.626640992961,2750.417620421263,0.23082948001101614,0.02707294417501976,3.8,0.4472135954999579
3,anisotropic_blobs,synthetic_gaussian,MBC_no_compact,0.8894973376329462,0.15150068841183884,0.9390785551057238,0.08368712554432599,0.7814278573844913,0.09411366220611592,0.3109831704904057,0.13247258670880194,5823.266295538475,2498.2231995337347,0.22659750001039355,0.029154819124434968,3.8,0.4472135954999579
4,anisotropic_blobs,synthetic_gaussian,MBC_no_polarity,0.8852213916043704,0.15716708234334553,0.9428571428571427,0.07824607964359531,0.8091546303582124,0.051625965447181565,0.26881841429514297,0.06761484266611341,5799.000136698727,2539.4068716975894,0.227795060002245,0.039081834209597696,3.6,0.5477225575051661
5,breast_cancer,real_tabular,MBC,0.6673014390286682,0.007645582991702477,0.5501713466990932,0.009930091026186486,0.3576812777972237,0.0006823225060215231,1.2613071978094696,0.0036856953475296918,288.12048587575515,0.009126506716230607,0.5086813599802553,0.03261824909238771,2.0,0.0
6,breast_cancer,real_tabular,MBC_micro_only,0.3654609475718339,0.07235839449303282,0.3759621630393505,0.013760044828785196,0.15434935495248236,0.006475992415824244,1.5335679409390335,0.08050537765836682,74.08890841756424,4.885555552328533,0.48696310000959786,0.02245032783085694,13.8,1.30384048104053
7,breast_cancer,real_tabular,MBC_no_capillary,0.6673014390286682,0.007645582991702477,0.5501713466990932,0.009930091026186486,0.3576812777972237,0.0006823225060215231,1.2613071978094696,0.0036856953475296918,288.12048587575515,0.009126506716230607,0.48292073998600243,0.024236178992598716,2.0,0.0
8,breast_cancer,real_tabular,MBC_no_compact,0.012656387136745096,0.013178565935468128,0.02905131158178708,0.008062000826619026,0.4575190708227108,0.0238500298297423,0.9140908005204704,0.12557674561298626,31.985335226029047,7.150596019953273,0.4868024999974295,0.02340941455092267,2.0,0.0
9,breast_cancer,real_tabular,MBC_no_polarity,0.6673014390286682,0.007645582991702477,0.5501713466990932,0.009930091026186486,0.3576812777972237,0.0006823225060215231,1.2613071978094696,0.0036856953475296918,288.12048587575515,0.009126506716230607,0.46751457997597756,0.015299781341123815,2.0,0.0
10,circles,nonconvex,MBC,1.0,0.0,1.0,0.0,0.14843387839361108,0.002006906190629798,281.42430729171724,106.18374120847649,0.0070057285441773144,0.003817031317061584,0.523822020017542,0.01931963360070467,2.0,0.0
11,circles,nonconvex,MBC_micro_only,0.11763414139561368,0.0019666489350553132,0.38534659969006757,0.0018584417124179987,0.4742942239180839,0.012991949351247567,0.5673445277308524,0.015204373632313598,818.941974074935,33.30573681370927,0.5222427199594677,0.015271405557741395,20.2,0.44721359549995815
12,circles,nonconvex,MBC_no_capillary,1.0,0.0,1.0,0.0,0.14843387839361108,0.002006906190629798,281.42430729171724,106.18374120847649,0.0070057285441773144,0.003817031317061584,0.5186856800224632,0.01377738734407999,2.0,0.0
13,circles,nonconvex,MBC_no_compact,1.0,0.0,1.0,0.0,0.14843387839361108,0.002006906190629798,281.42430729171724,106.18374120847649,0.0070057285441773144,0.003817031317061584,0.5125930200330913,0.022188989570157806,2.0,0.0
14,circles,nonconvex,MBC_no_polarity,1.0,0.0,1.0,0.0,0.14843387839361108,0.002006906190629798,281.42430729171724,106.18374120847649,0.0070057285441773144,0.003817031317061584,0.5163904999848455,0.015423589225701057,2.0,0.0
15,cmc,real_tabular,MBC,0.023023065147189818,0.0003034133912588031,0.04301712194418938,0.00020977198241292722,0.20083194119672504,1.956596185011909e-05,1.7058964808656334,2.676826191694088e-05,321.3298247278902,0.0008497333666260674,2.421272379974835,0.25109539753569277,3.0,0.0
16,cmc,real_tabular,MBC_micro_only,0.007449100592453321,0.0006095622548183083,0.039671293338203004,0.0005341871206469404,0.18173210841657106,0.004491054421962072,1.4939816885319441,0.026703910075314957,140.07180701696848,4.401629070394485,2.4136282599996775,0.2467441189073188,31.4,1.673320053068151
17,cmc,real_tabular,MBC_no_capillary,0.023023065147189818,0.0003034133912588031,0.04301712194418938,0.00020977198241292722,0.20083194119672504,1.956596185011909e-05,1.7058964808656334,2.676826191694088e-05,321.3298247278902,0.0008497333666260674,2.4257404200034216,0.2519094569445356,3.0,0.0
18,cmc,real_tabular,MBC_no_compact,0.0067596508958533644,0.0003828693885805955,0.021490115973210634,0.0006335673195526317,0.23109913418912678,0.0011822620899052839,1.4147947599096982,0.005703263380435401,261.11873685118235,0.5993121580346523,2.3758732199901713,0.24209776045249323,3.0,0.0
19,cmc,real_tabular,MBC_no_polarity,0.023023065147189818,0.0003034133912588031,0.04301712194418938,0.00020977198241292722,0.20083194119672504,1.956596185011909e-05,1.7058964808656334,2.676826191694088e-05,321.3298247278902,0.0008497333666260674,2.4327582799829544,0.2306653651954055,3.0,0.0
20,digits_0_4,real_image_features,MBC,0.7334793299866111,0.06803757332241293,0.7602233039510186,0.041750947135647365,0.2908792835964129,0.01280764924027363,1.4269587263958257,0.06959438614756325,207.88604806397848,7.22031124232248,0.9484947199933231,0.029623824858278153,5.0,0.0
21,digits_0_4,real_image_features,MBC_micro_only,0.5744906383363552,0.0113318066669384,0.6963190545810499,0.010555185952795277,0.29790614628361645,0.02830684167320164,1.323658033729591,0.033838079307370234,153.6438292246599,6.979782400954363,0.9385504400124773,0.024346642432867265,17.4,1.140175425099138
22,digits_0_4,real_image_features,MBC_no_capillary,0.7334793299866111,0.06803757332241293,0.7602233039510186,0.041750947135647365,0.2908792835964129,0.01280764924027363,1.4269587263958257,0.06959438614756325,207.88604806397848,7.22031124232248,0.910277759982273,0.03616506899983055,5.0,0.0
23,digits_0_4,real_image_features,MBC_no_compact,0.26102732372411874,0.17733961298713444,0.47231863823695874,0.21137809404750083,0.11272185279796143,0.07866470125665508,1.3901046894272007,0.32327631944984037,84.83155437598592,37.12742191700352,0.8598705200012773,0.0362049464771366,5.0,0.0
24,digits_0_4,real_image_features,MBC_no_polarity,0.7334793299866111,0.06803757332241293,0.7602233039510186,0.041750947135647365,0.2908792835964129,0.01280764924027363,1.4269587263958257,0.06959438614756325,207.88604806397848,7.22031124232248,0.9195656199939549,0.03885081210847504,5.0,0.0
25,ecoli,real_tabular,MBC,0.5278932032402934,0.036015875804126976,0.6378804202886389,0.010543067669467152,0.26714720791992513,0.013769433503979158,1.0773950065328464,0.02518744470455385,162.50783598977742,0.8842140321602379,0.2611411799676716,0.020708156915890372,8.0,0.0
26,ecoli,real_tabular,MBC_micro_only,0.6371369245853951,0.07583641076523506,0.600464894446725,0.0661140373109565,0.33999242592446344,0.05740711530513265,1.1868761330618334,0.1172919076994318,94.84392915894736,12.715582124949997,0.23671154000330716,0.010660466318756867,6.4,0.547722557505166
27,ecoli,real_tabular,MBC_no_capillary,0.5278932032402934,0.036015875804126976,0.6378804202886389,0.010543067669467152,0.26714720791992513,0.013769433503979158,1.0773950065328464,0.02518744470455385,162.50783598977742,0.8842140321602379,0.2402280200039968,0.022359992096092133,8.0,0.0
28,ecoli,real_tabular,MBC_no_compact,0.3319442322745073,0.23055321416658686,0.39373738728012275,0.19288656033817317,0.266275505928694,0.07074165635380342,1.2936888116245804,0.15297995899605246,66.89443490939242,24.25540341599899,0.21445448000449688,0.01880043258512529,4.2,0.8366600265340756
